"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"5000",2006-01-04,19.553637,2006.00821917808,0,0,0,0,0,0,0,0
"5001",2006-01-05,19.568136,2006.01095890411,0,0,0,0,0,0,0,0
"5002",2006-01-06,19.510138,2006.01369863014,0,0,0,0,0,0,0,0
"5003",2006-01-09,19.473877,2006.02191780822,0,0,0,0,0,0,0,0
"5004",2006-01-10,19.575382,2006.02465753425,0,0,0,0,0,0,0,0
"5005",2006-01-11,19.785646,2006.02739726027,0,0,0,0,0,0,0,0
"5006",2006-01-12,19.676891,2006.0301369863,0,0,0,0,0,0,0,0
"5007",2006-01-13,19.713152,2006.03287671233,0,0,0,0,0,0,0,0
"5008",2006-01-17,19.568136,2006.04383561644,0,0,0,0,0,0,0,0
"5009",2006-01-18,19.452129,2006.04657534247,0,0,0,0,0,0,0,0
"5010",2006-01-19,19.589888,2006.04931506849,0,0,0,0,0,0,0,0
"5011",2006-01-20,19.147629,2006.05205479452,0,0,0,0,0,0,0,0
"5012",2006-01-23,19.104122,2006.0602739726,0,0,0,0,0,0,0,0
"5013",2006-01-24,19.053377,2006.06301369863,0,0,0,0,0,0,0,0
"5014",2006-01-25,19.140375,2006.06575342466,0,0,0,0,0,0,0,0
"5015",2006-01-26,19.212877,2006.06849315068,0,0,0,0,0,0,0,0
"5016",2006-01-27,20.148153,2006.07123287671,0,0,0,0,0,0,0,0
"5017",2006-01-30,20.300396,2006.07945205479,0,0,0,0,0,0,0,0
"5018",2006-01-31,20.409147,2006.08219178082,0,0,0,0,0,0,0,0
"5019",2006-02-01,20.329405,2006.08493150685,0,0,0,0,0,0,0,0
"5020",2006-02-02,20.068399,2006.08767123288,0,0,0,0,0,0,0,0
"5021",2006-02-03,19.966892,2006.0904109589,0,0,0,0,0,0,0,0
"5022",2006-02-06,19.698641,2006.09863013699,0,0,0,0,0,0,0,0
"5023",2006-02-07,19.531895,2006.10136986301,0,0,0,0,0,0,0,0
"5024",2006-02-08,19.510138,2006.10410958904,0,0,0,0,0,0,0,0
"5025",2006-02-09,19.32888,2006.10684931507,0,0,0,0,0,0,0,0
"5026",2006-02-10,19.350632,2006.1095890411,0,0,0,0,0,0,0,0
"5027",2006-02-13,19.133129,2006.11780821918,0,0,0,0,0,0,0,0
"5028",2006-02-14,19.321629,2006.12054794521,0,0,0,0,0,0,0,0
"5029",2006-02-15,19.554422,2006.12328767123,0,0,0,0,0,0,0,0
"5030",2006-02-16,19.503506,2006.12602739726,0,0,0,0,0,0,0,0
