"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"6203",2009-10-12,73.24,2009.77808219178,0,0,0,0,0,0,0,0
"6204",2009-10-13,74.1,2009.78082191781,0,0,0,0,0,0,0,0
"6205",2009-10-14,75.2,2009.78356164384,0,0,0,0,0,0,0,0
"6206",2009-10-15,77.55,2009.78630136986,0,0,0,0,0,0,0,0
"6207",2009-10-16,78.54,2009.78904109589,0,0,0,0,0,0,0,0
"6208",2009-10-19,79.47,2009.79726027397,0,0,0,0,0,0,0,0
"6209",2009-10-20,78.87,2009.8,0,0,0,0,0,0,0,0
"6210",2009-10-21,81.03,2009.80273972603,0,0,0,0,0,0,0,0
"6211",2009-10-22,80.82,2009.80547945205,0,0,0,0,0,0,0,0
"6212",2009-10-23,80.11,2009.80821917808,0,0,0,0,0,0,0,0
"6213",2009-10-26,78.61,2009.81643835616,0,0,0,0,0,0,0,0
"6214",2009-10-27,79.45,2009.81917808219,0,0,0,0,0,0,0,0
"6215",2009-10-28,77.39,2009.82191780822,0,0,0,0,0,0,0,0
"6216",2009-10-29,79.84,2009.82465753425,0,0,0,0,0,0,0,0
"6217",2009-10-30,77.04,2009.82739726027,0,0,0,0,0,0,0,0
"6218",2009-11-02,78.08,2009.83561643836,0,0,0,0,0,0,0,0
"6219",2009-11-03,79.58,2009.83835616438,0,0,0,0,0,0,0,0
"6220",2009-11-04,80.3,2009.84109589041,0,0,0,0,0,0,0,0
"6221",2009-11-05,79.64,2009.84383561644,0,0,0,0,0,0,0,0
"6222",2009-11-06,77.4,2009.84657534247,0,0,0,0,0,0,0,0
"6223",2009-11-09,79.44,2009.85479452055,0,0,0,0,0,0,0,0
"6224",2009-11-10,79.01,2009.85753424658,0,0,0,0,0,0,0,0
"6225",2009-11-11,79.16,2009.8602739726,0,0,0,0,0,0,0,0
"6226",2009-11-12,77.25,2009.86301369863,0,0,0,0,0,0,0,0
"6227",2009-11-13,76.34,2009.86575342466,0,0,0,0,0,0,0,0
"6228",2009-11-16,78.91,2009.87397260274,0,0,0,0,0,0,0,0
"6229",2009-11-17,79.08,2009.87671232877,0,0,0,0,0,0,0,0
"6230",2009-11-18,79.55,2009.87945205479,0,0,0,0,0,0,0,0
"6231",2009-11-19,77.47,2009.88219178082,0,0,0,0,0,0,0,0
"6232",2009-11-20,76.83,2009.88493150685,0,0,0,0,0,0,0,0
"6233",2009-11-23,76.49,2009.89315068493,0,0,0,0,0,0,0,0
"6234",2009-11-24,74.88,2009.89589041096,0,0,0,0,0,0,0,0
"6235",2009-11-25,77.25,2009.89863013699,0,0,0,0,0,0,0,0
"6237",2009-11-27,75.95,2009.90410958904,0,0,0,0,0,0,0,0
"6238",2009-11-30,77.19,2009.91232876712,0,0,0,0,0,0,0,0
"6239",2009-12-01,78.39,2009.91506849315,0,0,0,0,0,0,0,0
"6240",2009-12-02,76.62,2009.91780821918,0,0,0,0,0,0,0,0
"6241",2009-12-03,76.42,2009.92054794521,0,0,0,0,0,0,0,0
"6242",2009-12-04,75.41,2009.92328767123,0,0,0,0,0,0,0,0
"6243",2009-12-07,73.89,2009.93150684932,0,0,0,0,0,0,0,0
"6244",2009-12-08,72.59,2009.93424657534,0,0,0,0,0,0,0,0
"6245",2009-12-09,70.67,2009.93698630137,0,0,0,0,0,0,0,0
"6246",2009-12-10,70.54,2009.9397260274,0,0,0,0,0,0,0,0
"6247",2009-12-11,69.86,2009.94246575342,0,0,0,0,0,0,0,0
"6248",2009-12-14,69.48,2009.95068493151,0,0,0,0,0,0,0,0
"6249",2009-12-15,70.62,2009.95342465753,0,0,0,0,0,0,0,0
"6250",2009-12-16,72.64,2009.95616438356,0,0,0,0,0,0,0,0
"6251",2009-12-17,72.58,2009.95890410959,0,0,0,0,0,0,0,0
"6252",2009-12-18,73.3,2009.96164383562,0,0,0,0,0,0,0,0
"6253",2009-12-21,72.71,2009.9698630137,0,0,0,0,0,0,0,0
"6254",2009-12-22,73.48,2009.97260273973,0,0,0,0,0,0,0,0
"6255",2009-12-23,76.03,2009.97534246575,0,0,0,0,0,0,0,0
"6256",2009-12-24,76.83,2009.97808219178,0,0,0,0,0,0,0,0
"6258",2009-12-28,78.67,2009.98904109589,0,0,0,0,0,0,0,0
"6259",2009-12-29,78.87,2009.99178082192,0,0,0,0,0,0,0,0
"6260",2009-12-30,79.35,2009.99452054795,0,0,0,0,0,0,0,0
"6261",2009-12-31,79.39,2009.99726027397,0,0,0,0,0,0,0,0
"6263",2010-01-04,81.52,2010.00821917808,0,0,0,0,0,0,0,0
"6264",2010-01-05,81.74,2010.01095890411,0,0,0,0,0,0,0,0
"6265",2010-01-06,83.12,2010.01369863014,0,0,0,0,0,0,0,0
"6266",2010-01-07,82.6,2010.01643835616,0,0,0,0,0,0,0,0
"6267",2010-01-08,82.74,2010.01917808219,0,0,0,0,0,0,0,0
"6268",2010-01-11,82.54,2010.02739726027,0,0,0,0,0,0,0,0
"6269",2010-01-12,80.79,2010.0301369863,0,0,0,0,0,0,0,0
"6270",2010-01-13,79.66,2010.03287671233,0,0,0,0,0,0,0,0
"6271",2010-01-14,79.35,2010.03561643836,0,0,0,0,0,0,0,0
"6272",2010-01-15,77.96,2010.03835616438,0,0,0,0,0,0,0,0
"6274",2010-01-19,78.98,2010.04931506849,0,0,0,0,0,0,0,0
"6275",2010-01-20,77.42,2010.05205479452,0,0,0,0,0,0,0,0
"6276",2010-01-21,75.84,2010.05479452055,0,0,0,0,0,0,0,0
"6277",2010-01-22,74.25,2010.05753424658,0,0,0,0,0,0,0,0
"6278",2010-01-25,74.9,2010.06575342466,0,0,0,0,0,0,0,0
"6279",2010-01-26,74.67,2010.06849315068,0,0,0,0,0,0,0,0
"6280",2010-01-27,73.64,2010.07123287671,0,0,0,0,0,0,0,0
"6281",2010-01-28,73.62,2010.07397260274,0,0,0,0,0,0,0,0
"6282",2010-01-29,72.85,2010.07671232877,0,0,0,0,0,0,0,0
"6283",2010-02-01,74.41,2010.08493150685,0,0,0,0,0,0,0,0
"6284",2010-02-02,77.21,2010.08767123288,0,0,0,0,0,0,0,0
"6285",2010-02-03,76.96,2010.0904109589,0,0,0,0,0,0,0,0
"6286",2010-02-04,73.13,2010.09315068493,0,0,0,0,0,0,0,0
"6287",2010-02-05,71.15,2010.09589041096,0,0,0,0,0,0,0,0
"6288",2010-02-08,71.87,2010.10410958904,0,0,0,0,0,0,0,0
"6289",2010-02-09,73.71,2010.10684931507,0,0,0,0,0,0,0,0
"6290",2010-02-10,74.48,2010.1095890411,0,0,0,0,0,0,0,0
"6291",2010-02-11,75.23,2010.11232876712,0,0,0,0,0,0,0,0
"6292",2010-02-12,74.11,2010.11506849315,0,0,0,0,0,0,0,0
"6294",2010-02-16,76.98,2010.12602739726,0,0,0,0,0,0,0,0
"6295",2010-02-17,77.27,2010.12876712329,0,0,0,0,0,0,0,0
"6296",2010-02-18,78.97,2010.13150684931,0,0,0,0,0,0,0,0
"6297",2010-02-19,79.77,2010.13424657534,0,0,0,0,0,0,0,0
"6298",2010-02-22,80.04,2010.14246575342,0,0,0,0,0,0,0,0
"6299",2010-02-23,78.61,2010.14520547945,0,0,0,0,0,0,0,0
"6300",2010-02-24,79.75,2010.14794520548,0,0,0,0,0,0,0,0
"6301",2010-02-25,77.99,2010.15068493151,0,0,0,0,0,0,0,0
"6302",2010-02-26,79.72,2010.15342465753,0,0,0,0,0,0,0,0
"6303",2010-03-01,78.71,2010.16164383562,0,0,0,0,0,0,0,0
"6304",2010-03-02,79.62,2010.16438356164,0,0,0,0,0,0,0,0
"6305",2010-03-03,80.91,2010.16712328767,0,0,0,0,0,0,0,0
"6306",2010-03-04,80.21,2010.1698630137,0,0,0,0,0,0,0,0
"6307",2010-03-05,81.5,2010.17260273973,0,0,0,0,0,0,0,0
"6308",2010-03-08,81.85,2010.18082191781,0,0,0,0,0,0,0,0
"6309",2010-03-09,81.5,2010.18356164384,0,0,0,0,0,0,0,0
"6310",2010-03-10,82.07,2010.18630136986,0,0,0,0,0,0,0,0
"6311",2010-03-11,82.1,2010.18904109589,0,0,0,0,0,0,0,0
"6312",2010-03-12,81.26,2010.19178082192,0,0,0,0,0,0,0,0
"6313",2010-03-15,79.79,2010.2,0,0,0,0,0,0,0,0
"6314",2010-03-16,81.75,2010.20273972603,0,0,0,0,0,0,0,0
"6315",2010-03-17,82.93,2010.20547945205,0,0,0,0,0,0,0,0
"6316",2010-03-18,82.16,2010.20821917808,0,0,0,0,0,0,0,0
"6317",2010-03-19,80.58,2010.21095890411,0,0,0,0,0,0,0,0
"6318",2010-03-22,81.26,2010.21917808219,0,0,0,0,0,0,0,0
"6319",2010-03-23,81.68,2010.22191780822,0,0,0,0,0,0,0,0
"6320",2010-03-24,80.29,2010.22465753425,0,0,0,0,0,0,0,0
"6321",2010-03-25,80.25,2010.22739726027,0,0,0,0,0,0,0,0
"6322",2010-03-26,79.75,2010.2301369863,0,0,0,0,0,0,0,0
"6323",2010-03-29,81.92,2010.23835616438,0,0,0,0,0,0,0,0
"6324",2010-03-30,82.14,2010.24109589041,0,0,0,0,0,0,0,0
"6325",2010-03-31,83.45,2010.24383561644,0,0,0,0,0,0,0,0
"6326",2010-04-01,84.53,2010.24657534247,0,0,0,0,0,0,0,0
"6328",2010-04-05,86.36,2010.25753424658,0,0,0,0,0,0,0,0
"6329",2010-04-06,86.54,2010.2602739726,0,0,0,0,0,0,0,0
"6330",2010-04-07,85.64,2010.26301369863,0,0,0,0,0,0,0,0
"6331",2010-04-08,85.17,2010.26575342466,0,0,0,0,0,0,0,0
"6332",2010-04-09,84.6,2010.26849315068,0,0,0,0,0,0,0,0
"6333",2010-04-12,84.07,2010.27671232877,0,0,0,0,0,0,0,0
"6334",2010-04-13,83.8,2010.27945205479,0,0,0,0,0,0,0,0
"6335",2010-04-14,85.62,2010.28219178082,0,0,0,0,0,0,0,0
"6336",2010-04-15,85.25,2010.28493150685,0,0,0,0,0,0,0,0
"6337",2010-04-16,82.97,2010.28767123288,0,0,0,0,0,0,0,0
"6338",2010-04-19,81.52,2010.29589041096,0,0,0,0,0,0,0,0
"6339",2010-04-20,82.98,2010.29863013699,0,0,0,0,0,0,0,0
"6340",2010-04-21,82.78,2010.30136986301,0,0,0,0,0,0,0,0
"6341",2010-04-22,82.89,2010.30410958904,0,0,0,0,0,0,0,0
"6342",2010-04-23,84.34,2010.30684931507,0,0,0,0,0,0,0,0
"6343",2010-04-26,84.2,2010.31506849315,0,0,0,0,0,0,0,0
"6344",2010-04-27,82.43,2010.31780821918,0,0,0,0,0,0,0,0
"6345",2010-04-28,83.22,2010.32054794521,0,0,0,0,0,0,0,0
"6346",2010-04-29,85.17,2010.32328767123,0,0,0,0,0,0,0,0
"6347",2010-04-30,86.07,2010.32602739726,0,0,0,0,0,0,0,0
"6348",2010-05-03,86.19,2010.33424657534,0,0,0,0,0,0,0,0
"6349",2010-05-04,82.73,2010.33698630137,0,0,0,0,0,0,0,0
"6350",2010-05-05,80,2010.3397260274,0,0,0,0,0,0,0,0
"6351",2010-05-06,77.18,2010.34246575342,0,0,0,0,0,0,0,0
"6352",2010-05-07,75.1,2010.34520547945,0,0,0,0,0,0,0,0
"6353",2010-05-10,76.89,2010.35342465753,0,0,0,0,0,0,0,0
"6354",2010-05-11,76.37,2010.35616438356,0,0,0,0,0,0,0,0
"6355",2010-05-12,75.65,2010.35890410959,0,0,0,0,0,0,0,0
"6356",2010-05-13,74.38,2010.36164383562,0,0,0,0,0,0,0,0
"6357",2010-05-14,71.61,2010.36438356164,0,0,0,0,0,0,0,0
"6358",2010-05-17,70.08,2010.37260273973,0,0,0,0,0,0,0,0
"6359",2010-05-18,69.38,2010.37534246575,0,0,0,0,0,0,0,0
"6360",2010-05-19,69.91,2010.37808219178,0,0,0,0,0,0,0,0
"6361",2010-05-20,68.28,2010.38082191781,0,0,0,0,0,0,0,0
"6362",2010-05-21,68.03,2010.38356164384,0,0,0,0,0,0,0,0
"6363",2010-05-24,68.23,2010.39178082192,0,0,0,0,0,0,0,0
"6364",2010-05-25,64.78,2010.39452054795,0,0,0,0,0,0,0,0
"6365",2010-05-26,71.52,2010.39726027397,0,0,0,0,0,0,0,0
"6366",2010-05-27,74.56,2010.4,0,0,0,0,0,0,0,0
"6367",2010-05-28,74,2010.40273972603,0,0,0,0,0,0,0,0
"6369",2010-06-01,72.7,2010.41369863014,0,0,0,0,0,0,0,0
"6370",2010-06-02,72.88,2010.41643835616,0,0,0,0,0,0,0,0
"6371",2010-06-03,74.62,2010.41917808219,0,0,0,0,0,0,0,0
"6372",2010-06-04,71.43,2010.42191780822,0,0,0,0,0,0,0,0
"6373",2010-06-07,71.55,2010.4301369863,0,0,0,0,0,0,0,0
"6374",2010-06-08,71.88,2010.43287671233,0,0,0,0,0,0,0,0
"6375",2010-06-09,74.38,2010.43561643836,0,0,0,0,0,0,0,0
"6376",2010-06-10,75.48,2010.43835616438,0,0,0,0,0,0,0,0
"6377",2010-06-11,73.89,2010.44109589041,0,0,0,0,0,0,0,0
"6378",2010-06-14,74.99,2010.44931506849,0,0,0,0,0,0,0,0
"6379",2010-06-15,76.84,2010.45205479452,0,0,0,0,0,0,0,0
"6380",2010-06-16,77.67,2010.45479452055,0,0,0,0,0,0,0,0
"6381",2010-06-17,76.82,2010.45753424658,0,0,0,0,0,0,0,0
"6382",2010-06-18,77.18,2010.4602739726,0,0,0,0,0,0,0,0
"6383",2010-06-21,77.84,2010.46849315068,0,0,0,0,0,0,0,0
"6384",2010-06-22,77.15,2010.47123287671,0,0,0,0,0,0,0,0
"6385",2010-06-23,75.9,2010.47397260274,0,0,0,0,0,0,0,0
"6386",2010-06-24,75.96,2010.47671232877,0,0,0,0,0,0,0,0
"6387",2010-06-25,78.45,2010.47945205479,0,0,0,0,0,0,0,0
"6388",2010-06-28,78.26,2010.48767123288,0,0,0,0,0,0,0,0
"6389",2010-06-29,75.93,2010.4904109589,0,0,0,0,0,0,0,0
"6390",2010-06-30,75.59,2010.49315068493,0,0,0,0,0,0,0,0
"6391",2010-07-01,72.95,2010.49589041096,0,0,0,0,0,0,0,0
"6392",2010-07-02,72.06,2010.49863013699,0,0,0,0,0,0,0,0
"6394",2010-07-06,71.96,2010.5095890411,0,0,0,0,0,0,0,0
"6395",2010-07-07,74.05,2010.51232876712,0,0,0,0,0,0,0,0
"6396",2010-07-08,75.46,2010.51506849315,0,0,0,0,0,0,0,0
"6397",2010-07-09,76.08,2010.51780821918,0,0,0,0,0,0,0,0
"6398",2010-07-12,74.93,2010.52602739726,0,0,0,0,0,0,0,0
"6399",2010-07-13,77.16,2010.52876712329,0,0,0,0,0,0,0,0
"6400",2010-07-14,77.02,2010.53150684932,0,0,0,0,0,0,0,0
"6401",2010-07-15,76.67,2010.53424657534,0,0,0,0,0,0,0,0
"6402",2010-07-16,75.96,2010.53698630137,0,0,0,0,0,0,0,0
"6403",2010-07-19,76.53,2010.54520547945,0,0,0,0,0,0,0,0
"6404",2010-07-20,77.32,2010.54794520548,0,0,0,0,0,0,0,0
"6405",2010-07-21,76.27,2010.55068493151,0,0,0,0,0,0,0,0
"6406",2010-07-22,79.01,2010.55342465753,0,0,0,0,0,0,0,0
"6407",2010-07-23,78.68,2010.55616438356,0,0,0,0,0,0,0,0
"6408",2010-07-26,78.93,2010.56438356164,0,0,0,0,0,0,0,0
"6409",2010-07-27,77.46,2010.56712328767,0,0,0,0,0,0,0,0
"6410",2010-07-28,77.06,2010.5698630137,0,0,0,0,0,0,0,0
"6411",2010-07-29,78.3,2010.57260273973,0,0,0,0,0,0,0,0
"6412",2010-07-30,78.85,2010.57534246575,0,0,0,0,0,0,0,0
"6413",2010-08-02,81.25,2010.58356164384,0,0,0,0,0,0,0,0
"6414",2010-08-03,82.52,2010.58630136986,0,0,0,0,0,0,0,0
"6415",2010-08-04,82.49,2010.58904109589,0,0,0,0,0,0,0,0
"6416",2010-08-05,82,2010.59178082192,0,0,0,0,0,0,0,0
"6417",2010-08-06,80.67,2010.59452054795,0,0,0,0,0,0,0,0
"6418",2010-08-09,81.46,2010.60273972603,0,0,0,0,0,0,0,0
"6419",2010-08-10,80.24,2010.60547945205,0,0,0,0,0,0,0,0
"6420",2010-08-11,78.09,2010.60821917808,0,0,0,0,0,0,0,0
"6421",2010-08-12,75.68,2010.61095890411,0,0,0,0,0,0,0,0
"6422",2010-08-13,75.39,2010.61369863014,0,0,0,0,0,0,0,0
"6423",2010-08-16,75.17,2010.62191780822,0,0,0,0,0,0,0,0
"6424",2010-08-17,75.76,2010.62465753425,0,0,0,0,0,0,0,0
"6425",2010-08-18,75.39,2010.62739726027,0,0,0,0,0,0,0,0
"6426",2010-08-19,74.45,2010.6301369863,0,0,0,0,0,0,0,0
"6427",2010-08-20,73.45,2010.63287671233,0,0,0,0,0,0,0,0
"6428",2010-08-23,72.71,2010.64109589041,0,0,0,0,0,0,0,0
"6429",2010-08-24,71.24,2010.64383561644,0,0,0,0,0,0,0,0
"6430",2010-08-25,72.07,2010.64657534247,0,0,0,0,0,0,0,0
