"","Date","Close","t","P.SS_EW","P.SS_EF","P.S_EW","P.S_EF","P.M_EW","P.M_EF","P.L_EW","P.L_EF","N.SS_EW","N.SS_EF","N.S_EW","N.S_EF","N.M_EW","N.M_EF","N.L_EW","N.L_EF","P.SS_tc","P.S_tc","P.M_tc","P.L_tc","N.SS_tc","N.S_tc","N.M_tc","N.L_tc"
"15000",1987-10-27,233.190002,1987.81917808219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"15001",1987-10-28,233.279999,1987.82191780822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"15002",1987-10-29,244.770004,1987.82465753425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"15003",1987-10-30,251.789993,1987.82739726027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"15004",1987-11-02,255.75,1987.83561643836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15005",1987-11-03,250.820007,1987.83835616438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15006",1987-11-04,248.960007,1987.84109589041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15007",1987-11-05,254.479996,1987.84383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15008",1987-11-06,250.410004,1987.84657534247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15009",1987-11-09,243.169998,1987.85479452055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15010",1987-11-10,239,1987.85753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15011",1987-11-11,241.899994,1987.8602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15012",1987-11-12,248.520004,1987.86301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
