,Date,Close,t,P.SS_EW,P.SS_EF,P.S_EW,P.S_EF,P.M_EW,P.M_EF,P.L_EW,P.L_EF,N.SS_EW,N.SS_EF,N.S_EW,N.S_EF,N.M_EW,N.M_EF,N.L_EW,N.L_EF
1,2003-01-09,927.570007,2003.02191780822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2003-01-10,927.570007,2003.02465753425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2003-01-13,926.26001,2003.03287671233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2003-01-14,931.659973,2003.03561643836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2003-01-15,918.219971,2003.03835616438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2003-01-16,914.599976,2003.04109589041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2003-01-17,901.780029,2003.04383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2003-01-21,887.619995,2003.05479452055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2003-01-22,878.359985,2003.05753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2003-01-23,887.340027,2003.0602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2003-01-24,861.400024,2003.06301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2003-01-27,847.47998,2003.07123287671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2003-01-28,858.539978,2003.07397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2003-01-29,864.359985,2003.07671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2003-01-30,844.609985,2003.07945205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2003-01-31,855.700012,2003.08219178082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2003-02-03,860.320007,2003.0904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2003-02-04,848.200012,2003.09315068493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2003-02-05,843.590027,2003.09589041096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2003-02-06,838.150024,2003.09863013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
