Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,4.537885,4.537885,4.537885,4.537885,2231.320068,0
1999-01-04,4.569519,4.632460,4.544343,4.569519,2246.874023,935001
1999-01-05,4.619872,4.632460,4.443637,4.519166,2222.115234,1692854
1999-01-06,4.519166,4.519166,4.519166,4.519166,2222.115234,0
1999-01-07,4.632460,4.657637,4.418461,4.544343,2234.495117,2009817
1999-01-08,4.569519,4.657637,4.431049,4.493990,2209.736084,2082107
1999-01-11,4.544343,4.582107,4.368108,4.393284,2160.217773,1194768
1999-01-12,4.380696,4.582107,4.330343,4.506578,2215.925537,3641503
1999-01-13,4.405873,4.405873,4.166697,4.292579,2110.700439,1849349
1999-01-14,4.342932,4.368108,4.204461,4.229638,2079.751221,1541919
1999-01-15,4.065991,4.191873,4.003050,4.003050,1968.336060,4014868
1999-01-18,4.116344,4.154108,4.053403,4.065991,1999.285034,2492014
1999-01-19,4.103756,4.128932,4.015638,4.028226,1980.715698,1988368
1999-01-20,4.091167,4.091167,3.839403,3.889756,1912.628662,4099868
1999-01-21,3.914932,3.977873,3.776462,3.814227,1875.490234,2648510
1999-01-22,3.776462,3.814227,3.587639,3.663168,1801.213257,3415100
1999-01-25,3.700933,3.902344,3.650580,3.738697,1838.351563,3840895
1999-01-26,3.902344,4.040815,3.839403,3.977873,1955.956909,5399497
1999-01-27,4.204461,4.267402,4.091167,4.141520,2036.423096,5462254
1999-01-28,4.103756,4.179285,3.965285,4.091167,2011.664307,1799302
1999-01-29,4.191873,4.191873,4.078579,4.128932,2030.233521,1658695
1999-02-01,4.154108,4.154108,3.902344,3.965285,1949.766846,1732573
1999-02-02,3.927521,4.040815,3.864580,3.927521,1931.198242,1338554
1999-02-03,3.927521,4.078579,3.889756,4.053403,1993.095337,1746078
1999-02-04,4.217049,4.267402,4.154108,4.217049,2073.561768,4246831
1999-02-05,4.217049,4.368108,4.166697,4.330343,2129.268799,3603372
1999-02-08,4.368108,4.380696,4.229638,4.254814,2092.130859,1417199
1999-02-09,4.254814,4.305167,4.028226,4.154108,2042.612915,1829489
1999-02-10,4.078579,4.229638,4.003050,4.128932,2030.233521,1449769
1999-02-11,4.154108,4.204461,4.091167,4.204461,2067.372070,714954
1999-02-12,4.254814,4.254814,4.141520,4.179285,2054.992676,630748
1999-02-15,4.166697,4.242226,4.103756,4.179285,2054.992676,543365
1999-02-16,4.217049,4.229638,4.103756,4.141520,2036.423096,695094
1999-02-17,4.103756,4.141520,3.990462,4.028226,1980.715698,793599
1999-02-18,4.065991,4.065991,3.965285,4.053403,1993.095337,756263
1999-02-19,4.078579,4.078579,3.952697,4.040815,1986.905762,1013646
1999-02-22,4.028226,4.091167,3.965285,4.015638,1974.525757,846824
1999-02-23,4.116344,4.128932,3.990462,4.078579,2005.474487,1759583
1999-02-24,4.028226,4.078579,3.977873,4.028226,1980.715698,1041450
1999-02-25,3.965285,4.040815,3.940109,3.952697,1943.577393,840469
1999-02-26,3.927521,3.952697,3.864580,3.902344,1918.818481,1712713
1999-03-01,3.889756,3.952697,3.864580,3.914932,1925.007690,1269441
1999-03-02,3.902344,4.003050,3.877168,3.965285,1949.766846,864300
1999-03-03,3.927521,4.028226,3.902344,3.965285,1949.766846,845235
1999-03-04,3.940109,4.154108,3.940109,4.154108,2042.612915,2699351
1999-03-05,4.191873,4.267402,4.116344,4.267402,2098.321045,1431498
1999-03-08,4.242226,4.242226,4.116344,4.116344,2024.043701,886543
1999-03-09,4.128932,4.191873,4.128932,4.128932,2030.233521,1001731
1999-03-10,4.154108,4.242226,4.078579,4.242226,2085.941162,1580050
1999-03-11,4.254814,4.456225,4.254814,4.405873,2166.407959,5158001
1999-03-12,4.418461,4.531755,4.418461,4.443637,2184.976807,4972113
1999-03-15,4.481402,4.506578,4.342932,4.506578,2215.925537,1528414
1999-03-16,4.481402,4.506578,4.431049,4.481402,2203.546387,1698414
1999-03-17,4.468814,4.544343,4.355520,4.380696,2154.028320,1613414
1999-03-18,4.418461,4.569519,4.317755,4.556931,2240.684326,2473743
1999-03-19,4.569519,4.632460,4.519166,4.619872,2271.633301,4841038
1999-03-22,4.519166,4.695401,4.519166,4.657637,2290.202148,5339123
1999-03-23,4.645049,4.745754,4.582107,4.632460,2277.822754,3363465
1999-03-24,4.443637,4.506578,4.405873,4.418461,2172.597412,1649956
1999-03-25,4.431049,4.619872,4.431049,4.519166,2222.115234,1102619
1999-03-26,4.481402,4.544343,4.355520,4.355520,2141.648926,2264023
1999-03-29,4.380696,4.682813,4.380696,4.607284,2265.443848,1314722
1999-03-30,4.607284,4.632460,4.493990,4.582107,2253.063965,1740517
1999-03-31,4.556931,4.582107,4.506578,4.531755,2228.305176,1081170
1999-04-01,4.519166,4.607284,4.468814,4.594696,2259.253906,1090703
1999-04-02,4.594696,4.594696,4.594696,4.594696,2259.253906,0
1999-04-05,4.594696,4.594696,4.594696,4.594696,2259.253906,0
1999-04-06,4.632460,4.632460,4.531755,4.619872,2271.633301,1044628
1999-04-07,4.607284,4.682813,4.556931,4.594696,2259.253906,2070191
1999-04-08,4.657637,4.657637,4.556931,4.657637,2290.202148,1586405
1999-04-09,4.619872,4.645049,4.531755,4.569519,2246.874023,646636
1999-04-12,4.594696,4.645049,4.468814,4.645049,2284.012939,1453741
1999-04-13,4.657637,4.657637,4.569519,4.582107,2253.063965,529860
1999-04-14,4.619872,4.619872,4.443637,4.468814,2197.356689,741169
1999-04-15,4.493990,4.632460,4.481402,4.594696,2259.253906,1301217
1999-04-16,4.657637,4.758342,4.607284,4.758342,2339.719727,3378558
1999-04-19,4.796107,4.984930,4.796107,4.921989,2420.187256,3658185
1999-04-20,4.846460,5.098224,4.846460,5.035283,2475.894775,3722531
1999-04-21,4.984930,5.161165,4.972342,5.161165,2537.791748,3314212
1999-04-22,5.098224,5.148577,4.997518,5.085636,2500.653564,1516498
1999-04-23,5.035283,5.060459,4.909401,4.972342,2444.945801,1580050
1999-04-26,4.959754,5.073048,4.871636,4.871636,2395.427734,1767527
1999-04-27,4.909401,4.997518,4.859048,4.909401,2413.997559,1746078
1999-04-28,4.972342,5.035283,4.921989,5.035283,2475.894775,1209862
1999-04-29,5.022695,5.198930,4.997518,5.161165,2537.791748,1802480
1999-04-30,5.186341,5.349988,5.123400,5.211518,2562.550293,4070475
1999-05-03,5.211518,5.337400,5.135989,5.274459,2593.500244,1759583
1999-05-04,5.349988,5.475870,5.287047,5.475870,2692.535156,3002015
1999-05-05,5.387753,5.450694,5.299635,5.400341,2655.396729,1709536
1999-05-06,5.337400,5.387753,5.312224,5.312224,2612.069092,1186824
1999-05-07,5.299635,5.324812,5.110812,5.211518,2562.550293,1717480
1999-05-10,5.224106,5.375165,5.161165,5.198930,2556.360840,3213324
1999-05-11,5.236694,5.362576,5.123400,5.135989,2525.412842,1352853
1999-05-12,4.972342,5.022695,4.733166,4.733166,2327.340820,3899681
1999-05-13,4.758342,4.884224,4.745754,4.846460,2383.048828,1443414
1999-05-14,4.846460,4.846460,4.607284,4.645049,2284.012939,990609
