"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"1",1999-01-01,4.537885,1999,0,0,0,0,0,0,0,0
"2",1999-01-04,4.569519,1999.00821917808,0,0,0,0,0,0,0,0
"3",1999-01-05,4.519166,1999.01095890411,0,0,0,0,0,0,0,0
"4",1999-01-06,4.519166,1999.01369863014,0,0,0,0,0,0,0,0
"5",1999-01-07,4.544343,1999.01643835616,0,0,0,0,0,0,0,0
"6",1999-01-08,4.49399,1999.01917808219,0,0,0,0,0,0,0,0
"7",1999-01-11,4.393284,1999.02739726027,0,0,0,0,0,0,0,0
"8",1999-01-12,4.506578,1999.0301369863,0,0,0,0,0,0,0,0
"9",1999-01-13,4.292579,1999.03287671233,0,0,0,0,0,0,0,0
"10",1999-01-14,4.229638,1999.03561643836,0,0,0,0,0,0,0,0
"11",1999-01-15,4.00305,1999.03835616438,0,0,0,0,0,0,0,0
"12",1999-01-18,4.065991,1999.04657534247,0,0,0,0,0,0,0,0
"13",1999-01-19,4.028226,1999.04931506849,0,0,0,0,0,0,0,0
"14",1999-01-20,3.889756,1999.05205479452,0,0,0,0,0,0,0,0
"15",1999-01-21,3.814227,1999.05479452055,0,0,0,0,0,0,0,0
"16",1999-01-22,3.663168,1999.05753424658,0,0,0,0,0,0,0,0
"17",1999-01-25,3.738697,1999.06575342466,0,0,0,0,0,0,0,0
"18",1999-01-26,3.977873,1999.06849315068,0,0,0,0,0,0,0,0
"19",1999-01-27,4.14152,1999.07123287671,0,0,0,0,0,0,0,0
"20",1999-01-28,4.091167,1999.07397260274,0,0,0,0,0,0,0,0
"21",1999-01-29,4.128932,1999.07671232877,0,0,0,0,0,0,0,0
"22",1999-02-01,3.965285,1999.08493150685,0,0,0,0,0,0,0,0
"23",1999-02-02,3.927521,1999.08767123288,0,0,0,0,0,0,0,0
"24",1999-02-03,4.053403,1999.0904109589,0,0,0,0,0,0,0,0
"25",1999-02-04,4.217049,1999.09315068493,0,0,0,0,0,0,0,0
"26",1999-02-05,4.330343,1999.09589041096,0,0,0,0,0,0,0,0
"27",1999-02-08,4.254814,1999.10410958904,0,0,0,0,0,0,0,0
"28",1999-02-09,4.154108,1999.10684931507,0,0,0,0,0,0,0,0
"29",1999-02-10,4.128932,1999.1095890411,0,0,0,0,0,0,0,0
"30",1999-02-11,4.204461,1999.11232876712,0,0,0,0,0,0,0,0
"31",1999-02-12,4.179285,1999.11506849315,0,0,0,0,0,0,0,0
"32",1999-02-15,4.179285,1999.12328767123,0,0,0,0,0,0,0,0
"33",1999-02-16,4.14152,1999.12602739726,0,0,0,0,0,0,0,0
"34",1999-02-17,4.028226,1999.12876712329,0,0,0,0,0,0,0,0
"35",1999-02-18,4.053403,1999.13150684931,0,0,0,0,0,0,0,0
"36",1999-02-19,4.040815,1999.13424657534,0,0,0,0,0,0,0,0
"37",1999-02-22,4.015638,1999.14246575342,0,0,0,0,0,0,0,0
"38",1999-02-23,4.078579,1999.14520547945,0,0,0,0,0,0,0,0
"39",1999-02-24,4.028226,1999.14794520548,0,0,0,0,0,0,0,0
"40",1999-02-25,3.952697,1999.15068493151,0,0,0,0,0,0,0,0
"41",1999-02-26,3.902344,1999.15342465753,0,0,0,0,0,0,0,0
"42",1999-03-01,3.914932,1999.16164383562,0,0,0,0,0,0,0,0
"43",1999-03-02,3.965285,1999.16438356164,0,0,0,0,0,0,0,0
"44",1999-03-03,3.965285,1999.16712328767,0,0,0,0,0,0,0,0
"45",1999-03-04,4.154108,1999.1698630137,0,0,0,0,0,0,0,0
"46",1999-03-05,4.267402,1999.17260273973,0,0,0,0,0,0,0,0
"47",1999-03-08,4.116344,1999.18082191781,0,0,0,0,0,0,0,0
"48",1999-03-09,4.128932,1999.18356164384,0,0,0,0,0,0,0,0
"49",1999-03-10,4.242226,1999.18630136986,0,0,0,0,0,0,0,0
"50",1999-03-11,4.405873,1999.18904109589,0,0,0,0,0,0,0,0
"51",1999-03-12,4.443637,1999.19178082192,0,0,0,0,0,0,0,0
"52",1999-03-15,4.506578,1999.2,0,0,0,0,0,0,0,0
"53",1999-03-16,4.481402,1999.20273972603,0,0,0,0,0,0,0,0
"54",1999-03-17,4.380696,1999.20547945205,0,0,0,0,0,0,0,0
"55",1999-03-18,4.556931,1999.20821917808,0,0,0,0,0,0,0,0
"56",1999-03-19,4.619872,1999.21095890411,0,0,0,0,0,0,0,0
"57",1999-03-22,4.657637,1999.21917808219,0,0,0,0,0,0,0,0
"58",1999-03-23,4.63246,1999.22191780822,0,0,0,0,0,0,0,0
