"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"1",2010-06-29,4.778,2010.4904109589,0,0,0,0,0,0,0,0
"2",2010-06-30,4.766,2010.49315068493,0,0,0,0,0,0,0,0
"3",2010-07-01,4.392,2010.49589041096,0,0,0,0,0,0,0,0
"4",2010-07-02,3.84,2010.49863013699,0,0,0,0,0,0,0,0
"5",2010-07-06,3.222,2010.5095890411,0,0,0,0,0,0,0,0
"6",2010-07-07,3.16,2010.51232876712,0,0,0,0,0,0,0,0
"7",2010-07-08,3.492,2010.51506849315,0,0,0,0,0,0,0,0
"8",2010-07-09,3.48,2010.51780821918,0,0,0,0,0,0,0,0
"9",2010-07-12,3.41,2010.52602739726,0,0,0,0,0,0,0,0
"10",2010-07-13,3.628,2010.52876712329,0,0,0,0,0,0,0,0
"11",2010-07-14,3.968,2010.53150684932,0,0,0,0,0,0,0,0
"12",2010-07-15,3.978,2010.53424657534,0,0,0,0,0,0,0,0
"13",2010-07-16,4.128,2010.53698630137,0,0,0,0,0,0,0,0
"14",2010-07-19,4.382,2010.54520547945,0,0,0,0,0,0,0,0
"15",2010-07-20,4.06,2010.54794520548,0,0,0,0,0,0,0,0
"16",2010-07-21,4.044,2010.55068493151,0,0,0,0,0,0,0,0
"17",2010-07-22,4.2,2010.55342465753,0,0,0,0,0,0,0,0
"18",2010-07-23,4.258,2010.55616438356,0,0,0,0,0,0,0,0
"19",2010-07-26,4.19,2010.56438356164,0,0,0,0,0,0,0,0
"20",2010-07-27,4.11,2010.56712328767,0,0,0,0,0,0,0,0
"21",2010-07-28,4.144,2010.5698630137,0,0,0,0,0,0,0,0
"22",2010-07-29,4.07,2010.57260273973,0,0,0,0,0,0,0,0
"23",2010-07-30,3.988,2010.57534246575,0,0,0,0,0,0,0,0
"24",2010-08-02,4.184,2010.58356164384,0,0,0,0,0,0,0,0
"25",2010-08-03,4.39,2010.58630136986,0,0,0,0,0,0,0,0
"26",2010-08-04,4.252,2010.58904109589,0,0,0,0,0,0,0,0
"27",2010-08-05,4.09,2010.59178082192,0,0,0,0,0,0,0,0
"28",2010-08-06,3.918,2010.59452054795,0,0,0,0,0,0,0,0
"29",2010-08-09,3.92,2010.60273972603,0,0,0,0,0,0,0,0
"30",2010-08-10,3.806,2010.60547945205,0,0,0,0,0,0,0,0
"31",2010-08-11,3.58,2010.60821917808,0,0,0,0,0,0,0,0
"32",2010-08-12,3.52,2010.61095890411,0,0,0,0,0,0,0,0
"33",2010-08-13,3.664,2010.61369863014,0,0,0,0,0,0,0,0
"34",2010-08-16,3.756,2010.62191780822,0,0,0,0,0,0,0,0
"35",2010-08-17,3.83,2010.62465753425,0,0,0,0,0,0,0,0
"36",2010-08-18,3.754,2010.62739726027,0,0,0,0,0,0,0,0
"37",2010-08-19,3.758,2010.6301369863,0,0,0,0,0,0,0,0
"38",2010-08-20,3.82,2010.63287671233,0,0,0,0,0,0,0,0
"39",2010-08-23,4.026,2010.64109589041,0,0,0,0,0,0,0,0
"40",2010-08-24,3.84,2010.64383561644,0,0,0,0,0,0,0,0
"41",2010-08-25,3.98,2010.64657534247,0,0,0,0,0,0,0,0
"42",2010-08-26,3.95,2010.64931506849,0,0,0,0,0,0,0,0
"43",2010-08-27,3.94,2010.65205479452,0,0,0,0,0,0,0,0
"44",2010-08-30,3.974,2010.6602739726,0,0,0,0,0,0,0,0
"45",2010-08-31,3.896,2010.66301369863,0,0,0,0,0,0,0,0
"46",2010-09-01,4.09,2010.66575342466,0,0,0,0,0,0,0,0
"47",2010-09-02,4.212,2010.66849315068,0,0,0,0,0,0,0,0
"48",2010-09-03,4.21,2010.67123287671,0,0,0,0,0,0,0,0
"49",2010-09-07,4.108,2010.68219178082,0,0,0,0,0,0,0,0
"50",2010-09-08,4.18,2010.68493150685,0,0,0,0,0,0,0,0
"51",2010-09-09,4.142,2010.68767123288,0,0,0,0,0,0,0,0
"52",2010-09-10,4.034,2010.6904109589,0,0,0,0,0,0,0,0
"53",2010-09-13,4.144,2010.69863013699,0,0,0,0,0,0,0,0
"54",2010-09-14,4.224,2010.70136986301,0,0,0,0,0,0,0,0
"55",2010-09-15,4.396,2010.70410958904,0,0,0,0,0,0,0,0
"56",2010-09-16,4.188,2010.70684931507,0,0,0,0,0,0,0,0
"57",2010-09-17,4.046,2010.7095890411,0,0,0,0,0,0,0,0
"58",2010-09-20,4.212,2010.71780821918,0,0,0,0,0,0,0,0
"59",2010-09-21,4.154,2010.72054794521,0,0,0,0,0,0,0,0
"60",2010-09-22,3.974,2010.72328767123,0,0,0,0,0,0,0,0
"61",2010-09-23,3.912,2010.72602739726,0,0,0,0,0,0,0,0
"62",2010-09-24,4.02,2010.72876712329,0,0,0,0,0,0,0,0
"63",2010-09-27,4.106,2010.73698630137,0,0,0,0,0,0,0,0
"64",2010-09-28,4.28,2010.7397260274,0,0,0,0,0,0,0,0
"65",2010-09-29,4.396,2010.74246575342,0,0,0,0,0,0,0,0
"66",2010-09-30,4.082,2010.74520547945,0,0,0,0,0,0,0,0
"67",2010-10-01,4.12,2010.74794520548,0,0,0,0,0,0,0,0
"68",2010-10-04,4.198,2010.75616438356,0,0,0,0,0,0,0,0
"69",2010-10-05,4.224,2010.75890410959,0,0,0,0,0,0,0,0
"70",2010-10-06,4.092,2010.76164383562,0,0,0,0,0,0,0,0
"71",2010-10-07,4.086,2010.76438356164,0,0,0,0,0,0,0,0
"72",2010-10-08,4.086,2010.76712328767,0,0,0,0,0,0,0,0
"73",2010-10-11,4.048,2010.77534246575,0,0,0,0,0,0,0,0
"74",2010-10-12,4.048,2010.77808219178,0,0,0,0,0,0,0,0
"75",2010-10-13,4.108,2010.78082191781,0,0,0,0,0,0,0,0
"76",2010-10-14,4.15,2010.78356164384,0,0,0,0,0,0,0,0
"77",2010-10-15,4.108,2010.78630136986,0,0,0,0,0,0,0,0
"78",2010-10-18,4.046,2010.79452054795,0,0,0,0,0,0,0,0
